id,x,y
124_Menzel_Liegender_Mann,-2.3499546,4.7763944
125_Millet_Bucheron,-0.22425921,9.98037
126_Cezanne_Choquet,2.4758866,-0.61663234
127_Gogh_Selbstbildnis_1887,-0.20030712,-3.570394
128_Manet_Portrait_Alice,-0.42297977,1.0005699
129_Monet_Seine_,-7.618407,13.565989
130_Monet_Bords_Zaan,-1.814154,17.202566
132_Renoir_Femme_accoudee,-1.7865602,2.1946743
133_Renoir_Place_Trinite,-4.428726,15.502175
134_Gaul_Pinguine,18.755388,3.075092
135_Gogh_Turm,-11.99384,8.351211
136_Renoir_Tete_de_femme,-0.84518,2.627022
137_Pissarro_Printemps,-8.238015,11.784372
138_Bonnard_Dejeuner,-4.965632,-0.22522259
139_Goyen_Monfoort,-2.225863,14.797168
140_Flinck_Offizier,2.8008547,-0.4961581
141_Flinck_Dame,2.079145,-0.20950174
142_Hals_Herrenbildnis,2.3471382,-1.1399698
143_Rembrandt_Selbstbildnis,2.7358086,-0.39275157
144__Courbet_Faisan,-7.7621922,2.5015895
145_Menzel_Wohnzimmer,-5.4642954,1.9632059
146_Monticelli_Fete,1.7000316,11.679942
147_Rousseau_Vue_des_bords,-8.577657,11.209885
148_Rousseau_Vue_fortifications,-7.947699,11.360238
149_Boudin_Etaples,-5.856095,13.301538
150_Corot_Fontainebleau,-6.1704745,13.347904
151_Sisley_Hampton_Court,-13.510131,9.4948015
152_Vincent_Jeune_femme,1.5221503,-0.547088
153_Cezanne_Paysage_um_1879,-12.526237,7.698253
154_Degas_Bataille,-0.279801,11.196529
155_Toulouse_Lautrec_Francois_Gauzi,-0.19431165,-3.597404
156_Daumier_Fumeur,-2.8136833,-1.079573
157_Gogh_Park,-6.6399713,10.961316
158_Gogh_Gerard_Selbstbildnis_1888,-0.8226724,-3.6047482
159_1c_Corot_Liseuse,0.4427307,0.18725602
159_4c_Corot_Liseuse,0.049478568,-0.23763554
160_Derain_Vase,-8.142708,1.101684
161_Monet_Camille_au_jardin,-3.1111982,1.6300232
162_Manet_Fleurs,-8.626708,0.61407316
163_Pissarro_Dechargement,-2.3362453,15.817503
164_Monet_Soleil,-6.5296416,12.34187
165_Rodin_Nu_assis_Aquarell,-2.164872,3.0237253
166_Rodin_Nu_couche,-3.3548343,4.552799
167_Cezanne_Garcon,-2.0229194,-2.2446218
168_Manet_Suicide,-3.4979148,-0.36154965
169_Manet_Oloron,-13.8852415,9.120042
170_Gogh_Zwei_Baeuerinnen,-13.247482,7.0521703
171_Cezanne_Oree,-7.7880545,11.356939
172_1c_Degas_Depart,-1.5463152,11.435273
172_4c_Degas_Depart,-1.2853367,11.445263
173_Renoir_Petite_Irene,-2.29757,-0.3385819
174_Ingres_Marie,-0.7482699,2.7185593
175_Renoir_Jeune_femme,0.10646096,0.6522919
176_Cezane_Portrait_chapeau,-0.34802794,-3.6961627
177_Delacroix_Christ,-0.8009457,16.948727
178_Manet_Port,-2.1401362,16.552807
179_1c_Sisley_Bougival,-7.924504,13.759532
179_4c_Sisley_Bougival,-13.804406,9.271843
180_1c_Corot_Moine,0.553348,4.602542
180_4c_Corot_Moine,0.67204964,1.3075856
181_Renoir_Laveuse,19.270927,2.670598
182_Sisley_Seine,-7.9764376,13.319152
183_Lehmbruck_Akt,18.905762,2.6459882
184_Renoir_Paysage_Cagnes,-7.464423,12.739458
185_Courbet_Schweinehirtin,0.94055307,7.054911
186_1c_Degas_Danseueses_au_foyer,-3.4692438,6.7899194
186_4c_Degas_Danseuses_au_foyer,-3.40303,6.4076343
187_1c_Degas_Madame_Camus,0.14141212,-0.1936804
187_4c_Degas_Madame_Camus,-0.55556697,-0.54810464
188_1c_Manet_Toilette,-1.8204303,1.7250614
188_4c_Manet_Toilette,-1.9201376,1.2773395
189_Gogh_Kastanienzweige,-13.917063,7.296071
190_Gogh_Kornfeld,-6.376888,10.410085
191_Cezanne_Baigneuses,-1.9871927,7.325941
192_Delacroix_Autoporait,1.1103514,-2.3647435
193_Degas_Femme,-3.341387,0.48800263
194_Signac_Canal,-14.326986,8.800403
195_Braque_Nature_morte,-6.202642,6.007328
196_Braque_Nu,-4.373621,5.6696925
197_Cézanne_Mont_de_Cengle,-12.032223,7.074412
198_Degas_Classe_de_ballet,-2.6633341,5.695979
199_Matisse_Carnaval,-3.798069,9.056335
200_Seurat_Parade,-4.52596,7.048938
201_Rouault_Couple_Loge,-4.0997972,-0.3498116
203_Courbet_Biches,-12.083965,9.423685
204_Boucher_Nymphe,0.93155766,8.119545
205_Gogh_Seine_Bruecken_hires,-14.115109,8.63995
206_Manet_Bassin_Arcachon,-11.668756,10.525903
207_Manet_Maree_montante,-1.1747664,17.124521
208_Bonnard_Place,-14.207794,8.72472
209_Degas_Piano_bras_Inv_30,-2.1321764,3.9724374
210_Degas_Piano_bras_mains_Inv_31,-1.8985121,3.2665036
211_Manet_Bellevue,-13.048144,7.6282506
212_Toulouse_Lautrec_Messaline,-3.2168732,0.06652409
213_Modigliani_Liegender_Akt_1916,-3.1048026,2.716677
214_Gogh_Sämann,-14.05236,8.002326
215_Delacroix_Apollon,4.02715,8.363551
216_Seurat_Grande_Jatte,-11.889331,9.896733
217_Dyck_Familie,16.310593,6.38884
218_Matisse_Nu,-3.4016392,4.26592
219_Degas_Cheval,18.930964,2.9535549
220_Degas_Danseuse_regardant,19.207376,2.3579993
221_Derain_Interieur,-5.2475295,0.021516824
222_Courbet_Chateau_Chillon,-5.381886,12.377197
223_Fragonard_Hubert_Robert,0.61080766,-1.3151515
224_Ingres_Portrait,1.6467208,0.028316444
