x,y,id
20,0,083_Hosemann_Karikaturen
54.25531275408949,0,086_Menzel_Erdarbeiter
79.57835076154595,0,532_Guys_Revue
91.62940702275452,0,530_Guys_Carrosse
107.36025997775485,0,081_G_A_Friedrich_Haeuser
109.3735000537928,11.322405415645331,533_Guys_Rue_de_la_Lune
114.19429331959327,21.76318854184869,049_Marquet_Faubourg_de_Paris
127.11759308483109,0,144__Courbet_Faisan
134.69653806124919,8.649253901026773,149_Boudin_Etaples
134.69653806124919,20.149253901026775,259_Bombois_Bords
134.69653806124919,31.649253901026775,321_Renoir_Julie_Manet
138.2312860107423,42.59254211497573,531_Guys_Promenade_a_cheval
153.8734398651012,0,103_Signac_Venise
159.35966576288263,10.106993885350501,458_Terborch_Besuch
163.4914384985274,20.839116418241304,220_Degas_Danseuse_regardant
164.49168735349613,32.29553393106501,080_C_D_Friedrich_Hofmusikanten
164.49168735349613,43.79553393106501,470_Heckel_Akte_am_Strand
164.49168735349613,55.29553393106501,471_Heckel_Blick
164.49168735349613,66.79553393106501,472_Heckel_Duenen
169.31248061929654,0,320_Redon_La_Chute
173.8576454098959,10.563686715645058,005_Friesz_Port_Toulon
173.8576454098959,73.46852648956231,465_Gaul_Reh
182.2357803845344,0,312_Maillol_Nu_debout
208.9916271648045,0,315_Cassatt_Sleepy_Thomas
208.9916271648045,11.5,479_Kessel_Flusslandschaft
214.47785306258595,21.606993885350484,124_Menzel_Liegender_Mann
214.47785306258595,33.106993885350484,125_Millet_Bucheron
228.9758327095992,0,004_Degas_Danseuses_foyer
228.9758327095992,11.5,096_Dufy_Tulipes_anemones
228.9758327095992,23,261_Delacroix_Tam_O_Shanter
228.9758327095992,34.5,354_Seurat_Casseur
228.9758327095992,46,405_Brueghel_Bauerntanz
233.2751897759327,56.66609248113704,003_Vlaminck_Maison
237.35396768423772,67.41846760362615,017_Utrillo_Bouquet
237.35396768423772,78.91846760362615,076_Blechen_Vigna
237.35396768423772,90.41846760362615,150_Corot_Fontainebleau
237.35396768423772,101.91846760362615,421_Savery_Tiere
237.35396768423772,113.41846760362615,569_Bodensee_Kruzifix
237.35396768423772,124.91846760362615,572_Sachsen_Kreuztragung
246.71992574063745,0,082_Hosemann_Rehberger
248.46766061014893,11.366416446087733,582_Bayern_Kopf_einer_Heiligen
251.85194733125098,22.357167257082054,085_Krueger_Schimmel
251.85194733125098,33.857167257082054,419_Renoir_Composition
255.09806071527603,44.88951731942387,074_Blechen_Faraglioni
258.2168422298515,0.2662916447009936,077_Blechen_Pifferaro
258.2168422298515,55.958537233776816,444_Berckheyde_Der_Dam
261.21790538765066,11.367805952348427,319_Picasso_Nature_morte
262.67700569169415,26.238933799907567,151_Sisley_Hampton_Court
269.59604036228916,1.9287746860363917,057_Manet_Portrait_Mademoiselle_G
269.59604036228916,35.424626981540854,069_Marquet_Pont_Neuf
269.59604036228916,46.924626981540854,084_Krueger_Madame_Toussaint
269.59604036228916,58.424626981540854,097_Derain_Nymphes
269.59604036228916,69.92462698154085,235_Renoir_Paysage_avec_baigneuses
269.59604036228916,81.42462698154085,267_Elsheimer_Heiliger_Hubertus
269.59604036228916,92.92462698154085,318_Modigliani_Devraigne
269.59604036228916,104.42462698154085,322_Ruysdael_Auf_der_Mare
269.59604036228916,115.92462698154085,373_Netscher_Zitronenverkaeuferin
269.59604036228916,127.42462698154085,452_Teniers_Raucher
269.59604036228916,138.92462698154085,535_Chavannes_Concordia
269.59604036228916,150.42462698154085,575_Greiff_Ein_Paar_Stehende_Engel
272.203445609789,14.768968404772655,462_Dufy_Courses
277.1749853387074,25.138818583236468,006_Renoir_Nature_morte
277.1749853387074,159.0738808825675,046_Marc_Badende
277.1749853387074,170.5738808825675,461_Brouwer_Landschaft
281.8539074955461,0,009_Daubigny_Au_bords
281.8539074955461,35.64394530547281,015_Monticelli_Femmes
281.8539074955461,47.14394530547281,196_Braque_Nu
281.8539074955461,58.64394530547281,268_Momper_Winterlandschaft
281.8539074955461,70.14394530547281,323_Ruysdael_Rhenen
281.8539074955461,81.64394530547281,413_Marc_Aeffchen
281.8539074955461,93.14394530547281,459_Patinir_Taufe_Christi_Inv_157
284.0940200093024,11.279711695150379,236_Vlaminck_Nature_morte_bleue
286.2727517901924,103.76109252587396,075_Blechen_Neapel
288.393377075636,21.94580417628739,353_Braunschweiger_Paradiesgaertlein
290.458914907903,114.47211667634245,273_Bonnard_Courses
292.47215498394104,40.06014506037455,022_Th_Rousseau_Route
292.47215498394104,51.56014506037455,174_Ingres_Marie
292.47215498394104,63.06014506037455,263_Jongkind_Hafen
292.47215498394104,74.56014506037455,454_Picasso_Jeu
292.47215498394104,86.06014506037455,473_Kandinsky_Aufstieg
292.47215498394104,125.79452209198777,588_Oberrhein_Heiliger_Christophorus
296.35188714255935,0,264_Neer_Kanallandschaft
298.22300254183506,11.346758442947188,087_Menzel_Schlafender_Mann
300.05109996035924,22.70052697275196,476_Rubens_Die_Verteidiger
301.83811304034083,92.73313761887182,335_Delacroix_Tete
301.83811304034083,104.23313761887182,339_Kalf_Ziehbrunnen
306.9701346309543,31.8862201543852,161_Monet_Camille_au_jardin
310.2162480149793,0,012_Pena_Repos
310.2162480149793,11.5,050_Daubigny_Verger
310.2162480149793,42.91857021672702,327_Vlaminck_Interieur
310.2162480149793,54.41857021672702,374_Sisley_La_Baignade
310.2162480149793,65.91857021672702,451_Sisley_Chalands
310.2162480149793,77.41857021672702,573_Salzburg_Geburt_Christi
310.2162480149793,112.11075492023517,570_Nuernberg_Ein_Paar_Leuchterengel
